wl,n,k
11.89,3.469794703,0.000123084
11.9,3.469793967,0.000122054
11.91,3.469793207,0.000121049
11.92,3.469792422,0.000120068
11.93,3.469791614,0.00011911
11.94,3.469790783,0.000118178
11.95,3.46978993,0.000117269
11.96,3.469789056,0.000116385
11.97,3.469788162,0.000115525
11.98,3.469787247,0.000114689
11.99,3.469786314,0.000113877
12,3.469785362,0.000113089
12.01,3.469784392,0.000112324
12.02,3.469783404,0.000111584
12.03,3.4697824,0.000110867
12.04,3.469781378,0.000110174
12.05,3.469780341,0.000109504
12.06,3.469779289,0.000108858
12.07,3.469778221,0.000108234
12.08,3.469777139,0.000107634
12.09,3.469776042,0.000107057
12.1,3.469774932,0.000106503
12.11,3.469773807,0.000105972
12.12,3.46977267,0.000105463
12.13,3.46977152,0.000104978
12.14,3.469770356,0.000104514
12.15,3.469769181,0.000104074
12.16,3.469767994,0.000103655
12.17,3.469766794,0.000103259
12.18,3.469765583,0.000102885
12.19,3.469764361,0.000102534
12.2,3.469763127,0.000102205
12.21,3.469761882,0.000101898
12.22,3.469760627,0.000101613
12.23,3.469759361,0.00010135
12.24,3.469758084,0.000101109
12.25,3.469756797,0.000100891
12.26,3.4697555,0.000100694
12.27,3.469754192,0.00010052
12.28,3.469752875,0.000100368
12.29,3.469751547,0.000100238
12.3,3.46975021,0.000100131
12.31,3.469748864,0.000100046
12.32,3.469747507,0.000099984
12.33,3.469746141,9.99443E-05
12.34,3.469744766,9.99274E-05
12.35,3.469743381,9.99335E-05
12.36,3.469741987,9.99626E-05
12.37,3.469740584,0.000100015
12.38,3.469739172,0.000100091
12.39,3.46973775,0.00010019
12.4,3.469736319,0.000100314
12.41,3.46973488,0.000100461
12.42,3.469733431,0.000100633
12.43,3.469731974,0.000100829
12.44,3.469730507,0.000101051
12.45,3.469729032,0.000101297
12.46,3.469727549,0.00010157
12.47,3.469726056,0.000101868
12.48,3.469724555,0.000102193
12.49,3.469723046,0.000102544
12.5,3.469721528,0.000102923
12.51,3.469720001,0.000103329
12.52,3.469718467,0.000103763
12.53,3.469716924,0.000104227
12.54,3.469715374,0.000104719
12.55,3.469713815,0.000105241
12.56,3.469712249,0.000105793
12.57,3.469710675,0.000106377
12.58,3.469709094,0.000106991
12.59,3.469707506,0.000107639
12.6,3.469705911,0.000108319
12.61,3.469704309,0.000109033
12.62,3.469702701,0.000109781
12.63,3.469701086,0.000110564
12.64,3.469699466,0.000111384
12.65,3.46969784,0.000112241
12.66,3.46969621,0.000113135
12.67,3.469694575,0.000114069
12.68,3.469692935,0.000115042
12.69,3.469691292,0.000116056
12.7,3.469689646,0.000117112
12.71,3.469687998,0.000118211
12.72,3.469686348,0.000119353
12.73,3.469684696,0.000120542
12.74,3.469683045,0.000121776
12.75,3.469681395,0.000123058
12.76,3.469679746,0.000124389
12.77,3.469678099,0.00012577
12.78,3.469676457,0.000127203
12.79,3.46967482,0.000128689
12.8,3.469673188,0.000130228
12.81,3.469671565,0.000131824
12.82,3.469669951,0.000133476
12.83,3.469668348,0.000135188
12.84,3.469666758,0.000136959
12.85,3.469665182,0.000138791
12.86,3.469663624,0.000140687
12.87,3.469662084,0.000142647
12.88,3.469660565,0.000144673
12.89,3.469659071,0.000146766
12.9,3.469657603,0.000148929
12.91,3.469656165,0.000151161
12.92,3.46965476,0.000153465
12.93,3.469653391,0.000155841
12.94,3.469652061,0.000158291
12.95,3.469650776,0.000160817
12.96,3.469649537,0.000163418
12.97,3.469648351,0.000166095
12.98,3.469647221,0.000168851
12.99,3.469646152,0.000171683
13,3.46964515,0.000174594
13.01,3.469644219,0.000177583
13.02,3.469643365,0.000180649
13.03,3.469642595,0.000183793
13.04,3.469641913,0.000187012
13.05,3.469641327,0.000190306
13.06,3.469640843,0.000193672
13.07,3.469640467,0.00019711
13.08,3.469640207,0.000200614
13.09,3.46964007,0.000204183
13.1,3.469640062,0.000207812
13.11,3.469640192,0.000211496
13.12,3.469640465,0.000215231
13.13,3.469640891,0.00021901
13.14,3.469641474,0.000222825
13.15,3.469642224,0.000226671
13.16,3.469643145,0.000230537
13.17,3.469644245,0.000234414
13.18,3.469645528,0.000238293
13.19,3.469647001,0.000242162
13.2,3.469648668,0.000246009
13.21,3.469650532,0.000249822
13.22,3.469652597,0.000253587
13.23,3.469654863,0.00025729
13.24,3.469657332,0.000260916
13.25,3.469660003,0.000264449
13.26,3.469662874,0.000267875
13.27,3.46966594,0.000271178
13.28,3.469669198,0.000274341
13.29,3.469672641,0.000277348
13.3,3.46967626,0.000280185
13.31,3.469680046,0.000282835
13.32,3.469683987,0.000285285
13.33,3.469688069,0.000287521
13.34,3.46969228,0.00028953
13.35,3.469696602,0.000291302
13.36,3.469701019,0.000292826
13.37,3.469705513,0.000294094
13.38,3.469710065,0.0002951
13.39,3.469714656,0.000295839
13.4,3.469719264,0.000296309
13.41,3.469723871,0.000296509
13.42,3.469728457,0.00029644
13.43,3.469733,0.000296105
13.44,3.469737483,0.00029551
13.45,3.469741887,0.00029466
13.46,3.469746193,0.000293565
13.47,3.469750386,0.000292234
13.48,3.469754451,0.000290679
13.49,3.469758373,0.000288913
13.5,3.46976214,0.000286947
13.51,3.469765741,0.000284798
13.52,3.469769167,0.000282478
13.53,3.46977241,0.000280005
13.54,3.469775464,0.000277392
13.55,3.469778324,0.000274656
13.56,3.469780988,0.000271811
13.57,3.469783452,0.000268873
13.58,3.469785717,0.000265855
13.59,3.469787782,0.000262772
13.6,3.46978965,0.000259638
13.61,3.469791324,0.000256465
13.62,3.469792805,0.000253266
13.63,3.4697941,0.000250051
13.64,3.469795212,0.000246831
13.65,3.469796146,0.000243616
13.66,3.469796909,0.000240414
13.67,3.469797506,0.000237234
13.68,3.469797944,0.000234084
13.69,3.469798229,0.000230969
13.7,3.469798368,0.000227896
13.71,3.469798366,0.00022487
13.72,3.469798232,0.000221896
13.73,3.469797972,0.000218977
13.74,3.469797591,0.000216117
13.75,3.469797096,0.000213319
13.76,3.469796494,0.000210585
13.77,3.469795789,0.000207917
13.78,3.46979499,0.000205318
13.79,3.469794099,0.000202787
13.8,3.469793124,0.000200326
13.81,3.469792069,0.000197936
13.82,3.469790939,0.000195616
13.83,3.469789739,0.000193367
13.84,3.469788473,0.000191189
13.85,3.469787146,0.000189081
13.86,3.469785761,0.000187043
13.87,3.469784322,0.000185075
13.88,3.469782833,0.000183175
13.89,3.469781297,0.000181343
13.9,3.469779717,0.000179577
13.91,3.469778096,0.000177877
13.92,3.469776438,0.000176242
13.93,3.469774744,0.000174671
13.94,3.469773017,0.000173162
13.95,3.469771259,0.000171714
13.96,3.469769473,0.000170326
13.97,3.46976766,0.000168998
13.98,3.469765823,0.000167727
13.99,3.469763962,0.000166512
14,3.46976208,0.000165353
14.01,3.469760178,0.000164247
14.02,3.469758258,0.000163195
14.03,3.46975632,0.000162194
14.04,3.469754366,0.000161244
14.05,3.469752398,0.000160344
14.06,3.469750415,0.000159492
14.07,3.469748419,0.000158687
14.08,3.469746411,0.000157928
14.09,3.469744391,0.000157215
14.1,3.469742361,0.000156546
14.11,3.469740321,0.000155921
14.12,3.469738271,0.000155338
14.13,3.469736213,0.000154796
14.14,3.469734146,0.000154295
14.15,3.469732071,0.000153834
14.16,3.469729988,0.000153412
14.17,3.469727899,0.000153029
14.18,3.469725802,0.000152683
14.19,3.469723699,0.000152373
14.2,3.46972159,0.0001521
14.21,3.469719475,0.000151862
14.22,3.469717354,0.00015166
14.23,3.469715228,0.000151491
14.24,3.469713096,0.000151356
14.25,3.469710958,0.000151254
14.26,3.469708816,0.000151185
14.27,3.469706668,0.000151148
14.28,3.469704516,0.000151142
14.29,3.469702358,0.000151168
14.3,3.469700195,0.000151225
14.31,3.469698028,0.000151311
14.32,3.469695856,0.000151428
14.33,3.469693679,0.000151575
14.34,3.469691497,0.000151751
14.35,3.46968931,0.000151955
14.36,3.469687118,0.000152189
14.37,3.469684921,0.000152451
14.38,3.469682719,0.000152741
14.39,3.469680512,0.000153059
14.4,3.4696783,0.000153405
14.41,3.469676082,0.000153778
14.42,3.46967386,0.000154179
14.43,3.469671632,0.000154607
14.44,3.469669398,0.000155062
14.45,3.469667159,0.000155544
14.46,3.469664914,0.000156053
14.47,3.469662664,0.000156588
14.48,3.469660407,0.00015715
14.49,3.469658145,0.000157739
14.5,3.469655877,0.000158355
14.51,3.469653602,0.000158997
14.52,3.469651321,0.000159665
14.53,3.469649034,0.000160361
14.54,3.46964674,0.000161082
14.55,3.469644439,0.000161831
14.56,3.469642132,0.000162606
14.57,3.469639817,0.000163408
14.58,3.469637496,0.000164236
14.59,3.469635168,0.000165092
14.6,3.469632832,0.000165975
14.61,3.469630489,0.000166884
14.62,3.469628138,0.000167822
14.63,3.469625779,0.000168786
14.64,3.469623413,0.000169778
14.65,3.469621039,0.000170798
14.66,3.469618657,0.000171846
14.67,3.469616267,0.000172922
14.68,3.469613868,0.000174027
14.69,3.469611461,0.00017516
14.7,3.469609045,0.000176322
14.71,3.469606621,0.000177513
14.72,3.469604189,0.000178734
14.73,3.469601747,0.000179984
14.74,3.469599296,0.000181265
14.75,3.469596837,0.000182575
14.76,3.469594368,0.000183917
14.77,3.46959189,0.000185289
14.78,3.469589402,0.000186693
14.79,3.469586905,0.000188129
14.8,3.469584399,0.000189597
14.81,3.469581883,0.000191098
14.82,3.469579357,0.000192631
14.83,3.469576822,0.000194198
14.84,3.469574277,0.000195799
14.85,3.469571721,0.000197435
14.86,3.469569156,0.000199105
14.87,3.469566581,0.00020081
14.88,3.469563996,0.000202552
14.89,3.469561401,0.00020433
14.9,3.469558796,0.000206145
14.91,3.46955618,0.000207997
14.92,3.469553555,0.000209888
14.93,3.469550919,0.000211817
14.94,3.469548273,0.000213786
14.95,3.469545617,0.000215795
14.96,3.469542951,0.000217844
14.97,3.469540275,0.000219935
14.98,3.469537588,0.000222068
14.99,3.469534892,0.000224244
15,3.469532186,0.000226463
15.01,3.46952947,0.000228726
15.02,3.469526744,0.000231035
15.03,3.469524009,0.000233389
15.04,3.469521264,0.00023579
15.05,3.469518509,0.000238238
15.06,3.469515745,0.000240735
15.07,3.469512973,0.000243281
15.08,3.469510191,0.000245877
15.09,3.4695074,0.000248524
15.1,3.469504601,0.000251223
15.11,3.469501794,0.000253976
15.12,3.469498979,0.000256782
15.13,3.469496156,0.000259643
15.14,3.469493325,0.00026256
15.15,3.469490488,0.000265534
15.16,3.469487644,0.000268567
15.17,3.469484793,0.000271658
15.18,3.469481936,0.00027481
15.19,3.469479074,0.000278024
15.2,3.469476207,0.000281301
15.21,3.469473336,0.000284641
15.22,3.46947046,0.000288047
15.23,3.469467581,0.00029152
15.24,3.469464699,0.00029506
15.25,3.469461814,0.000298669
15.26,3.469458929,0.000302349
15.27,3.469456042,0.000306101
15.28,3.469453156,0.000309926
15.29,3.46945027,0.000313826
15.3,3.469447386,0.000317802
15.31,3.469444504,0.000321855
15.32,3.469441626,0.000325988
15.33,3.469438752,0.000330201
15.34,3.469435884,0.000334497
15.35,3.469433023,0.000338876
15.36,3.46943017,0.000343341
15.37,3.469427326,0.000347893
15.38,3.469424492,0.000352534
15.39,3.46942167,0.000357265
15.4,3.469418862,0.000362088
15.41,3.469416069,0.000367005
15.42,3.469413292,0.000372018
15.43,3.469410534,0.000377127
15.44,3.469407795,0.000382336
15.45,3.469405079,0.000387646
15.46,3.469402386,0.000393058
15.47,3.46939972,0.000398575
15.48,3.469397082,0.000404198
15.49,3.469394474,0.00040993
15.5,3.469391899,0.000415771
15.51,3.46938936,0.000421724
15.52,3.469386859,0.00042779
15.53,3.469384398,0.000433972
15.54,3.469381981,0.000440271
15.55,3.469379611,0.000446689
15.56,3.469377291,0.000453228
15.57,3.469375023,0.000459889
15.58,3.469372812,0.000466674
15.59,3.469370661,0.000473585
15.6,3.469368574,0.000480624
15.61,3.469366555,0.000487792
15.62,3.469364607,0.00049509
15.63,3.469362735,0.000502521
15.64,3.469360944,0.000510085
15.65,3.469359237,0.000517784
15.66,3.46935762,0.000525619
15.67,3.469356097,0.00053359
15.68,3.469354673,0.000541701
15.69,3.469353355,0.00054995
15.7,3.469352146,0.000558339
15.71,3.469351054,0.000566869
15.72,3.469350083,0.000575539
15.73,3.46934924,0.000584351
15.74,3.469348531,0.000593304
15.75,3.469347962,0.000602398
15.76,3.46934754,0.000611634
15.77,3.469347272,0.000621009
15.78,3.469347165,0.000630525
15.79,3.469347225,0.000640179
15.8,3.469347461,0.00064997
15.81,3.46934788,0.000659897
15.82,3.469348489,0.000669958
15.83,3.469349297,0.00068015
15.84,3.469350311,0.000690471
15.85,3.46935154,0.000700918
15.86,3.469352991,0.000711487
15.87,3.469354674,0.000722174
15.88,3.469356596,0.000732976
15.89,3.469358766,0.000743886
15.9,3.469361193,0.000754901
15.91,3.469363885,0.000766015
15.92,3.469366851,0.00077722
15.93,3.4693701,0.000788511
15.94,3.469373639,0.000799879
15.95,3.469377479,0.000811318
15.96,3.469381626,0.000822818
15.97,3.469386089,0.00083437
15.98,3.469390875,0.000845964
15.99,3.469395994,0.000857591
16,3.469401451,0.000869239
16.01,3.469407255,0.000880896
16.02,3.469413412,0.00089255
16.03,3.469419927,0.000904189
16.04,3.469426808,0.000915798
16.05,3.469434059,0.000927364
16.06,3.469441685,0.000938872
16.07,3.46944969,0.000950307
16.08,3.469458077,0.000961653
16.09,3.469466849,0.000972892
16.1,3.469476008,0.00098401
16.11,3.469485555,0.000994988
16.12,3.469495489,0.001005809
16.13,3.46950581,0.001016454
16.14,3.469516516,0.001026906
16.15,3.469527603,0.001037146
16.16,3.469539069,0.001047155
16.17,3.469550907,0.001056914
16.18,3.469563112,0.001066406
16.19,3.469575675,0.00107561
16.2,3.469588589,0.00108451
16.21,3.469601843,0.001093085
16.22,3.469615427,0.00110132
16.23,3.469629327,0.001109195
16.24,3.469643532,0.001116695
16.25,3.469658026,0.001123802
16.26,3.469672795,0.001130502
16.27,3.46968782,0.001136779
16.28,3.469703085,0.00114262
16.29,3.46971857,0.001148011
16.3,3.469734258,0.001152941
16.31,3.469750126,0.001157398
16.32,3.469766154,0.001161374
16.33,3.469782321,0.00116486
16.34,3.469798604,0.001167849
16.35,3.46981498,0.001170335
16.36,3.469831427,0.001172314
16.37,3.46984792,0.001173783
16.38,3.469864438,0.00117474
16.39,3.469880955,0.001175186
16.4,3.469897449,0.001175122
16.41,3.469913897,0.00117455
16.42,3.469930275,0.001173475
16.43,3.469946562,0.001171902
16.44,3.469962734,0.001169839
16.45,3.469978772,0.001167293
16.46,3.469994653,0.001164273
16.47,3.470010358,0.00116079
16.48,3.470025867,0.001156856
16.49,3.470041163,0.001152483
16.5,3.470056228,0.001147684
16.51,3.470071046,0.001142474
16.52,3.470085601,0.001136868
16.53,3.470099879,0.001130881
16.54,3.470113867,0.00112453
16.55,3.470127553,0.001117831
16.56,3.470140927,0.001110802
16.57,3.470153978,0.001103459
16.58,3.470166697,0.001095821
16.59,3.470179079,0.001087905
16.6,3.470191115,0.001079729
16.61,3.470202801,0.001071311
16.62,3.470214133,0.001062668
16.63,3.470225107,0.001053818
16.64,3.470235721,0.001044779
16.65,3.470245974,0.001035567
16.66,3.470255866,0.001026199
16.67,3.470265396,0.001016692
16.68,3.470274566,0.001007061
16.69,3.470283377,0.000997322
16.7,3.470291834,0.00098749
16.71,3.470299939,0.000977579
16.72,3.470307695,0.000967604
16.73,3.470315107,0.000957578
16.74,3.470322181,0.000947514
16.75,3.470328922,0.000937424
16.76,3.470335335,0.00092732
16.77,3.470341426,0.000917213
16.78,3.470347203,0.000907114
16.79,3.470352671,0.000897033
16.8,3.470357839,0.000886979
16.81,3.470362712,0.000876961
16.82,3.470367299,0.000866988
16.83,3.470371607,0.000857067
16.84,3.470375643,0.000847205
16.85,3.470379415,0.000837411
16.86,3.47038293,0.000827689
16.87,3.470386198,0.000818045
16.88,3.470389224,0.000808486
16.89,3.470392017,0.000799015
16.9,3.470394584,0.000789638
16.91,3.470396933,0.000780358
16.92,3.470399072,0.00077118
16.93,3.470401007,0.000762106
16.94,3.470402746,0.00075314
16.95,3.470404296,0.000744283
16.96,3.470405664,0.00073554
16.97,3.470406858,0.00072691
16.98,3.470407882,0.000718397
16.99,3.470408745,0.000710002
17,3.470409453,0.000701726
17.01,3.470410012,0.00069357
17.02,3.470410427,0.000685534
17.03,3.470410706,0.00067762
17.04,3.470410853,0.000669828
17.05,3.470410875,0.000662158
17.06,3.470410776,0.000654609
17.07,3.470410563,0.000647183
17.08,3.47041024,0.000639878
17.09,3.470409812,0.000632694
17.1,3.470409284,0.000625631
17.11,3.470408661,0.000618688
17.12,3.470407947,0.000611864
17.13,3.470407147,0.000605159
17.14,3.470406264,0.000598571
17.15,3.470405302,0.000592101
17.16,3.470404267,0.000585745
17.17,3.470403161,0.000579505
17.18,3.470401987,0.000573377
17.19,3.470400751,0.000567362
17.2,3.470399454,0.000561458
17.21,3.4703981,0.000555663
17.22,3.470396692,0.000549976
17.23,3.470395233,0.000544397
17.24,3.470393727,0.000538923
17.25,3.470392175,0.000533553
17.26,3.470390581,0.000528285
17.27,3.470388946,0.000523119
17.28,3.470387274,0.000518053
17.29,3.470385567,0.000513085
17.3,3.470383826,0.000508214
17.31,3.470382055,0.000503439
17.32,3.470380255,0.000498757
17.33,3.470378428,0.000494168
17.34,3.470376577,0.00048967
17.35,3.470374702,0.000485262
17.36,3.470372806,0.000480942
17.37,3.47037089,0.000476709
17.38,3.470368956,0.000472561
17.39,3.470367005,0.000468497
17.4,3.47036504,0.000464516
17.41,3.470363061,0.000460616
17.42,3.470361069,0.000456796
17.43,3.470359067,0.000453054
17.44,3.470357054,0.00044939
17.45,3.470355033,0.000445801
17.46,3.470353005,0.000442287
17.47,3.47035097,0.000438846
17.48,3.470348929,0.000435477
17.49,3.470346885,0.000432179
17.5,3.470344836,0.000428951
17.51,3.470342786,0.000425791
17.52,3.470340733,0.000422698
17.53,3.47033868,0.000419671
17.54,3.470336626,0.000416709
17.55,3.470334573,0.00041381
17.56,3.470332522,0.000410974
17.57,3.470330472,0.0004082
17.58,3.470328425,0.000405486
17.59,3.470326382,0.000402832
17.6,3.470324342,0.000400236
17.61,3.470322307,0.000397697
17.62,3.470320277,0.000395214
17.63,3.470318252,0.000392787
17.64,3.470316234,0.000390415
17.65,3.470314222,0.000388096
17.66,3.470312217,0.000385829
17.67,3.470310219,0.000383614
17.68,3.470308229,0.000381449
17.69,3.470306248,0.000379335
17.7,3.470304274,0.00037727
17.71,3.47030231,0.000375252
17.72,3.470300355,0.000373282
17.73,3.47029841,0.000371359
17.74,3.470296475,0.000369481
17.75,3.47029455,0.000367648
17.76,3.470292635,0.00036586
17.77,3.470290731,0.000364115
17.78,3.470288838,0.000362412
17.79,3.470286957,0.000360752
17.8,3.470285086,0.000359132
17.81,3.470283228,0.000357554
17.82,3.470281382,0.000356015
17.83,3.470279547,0.000354516
17.84,3.470277725,0.000353055
17.85,3.470275916,0.000351632
17.86,3.470274119,0.000350247
17.87,3.470272335,0.000348898
17.88,3.470270564,0.000347585
17.89,3.470268807,0.000346308
17.9,3.470267063,0.000345066
17.91,3.470265332,0.000343858
17.92,3.470263615,0.000342684
17.93,3.470261911,0.000341543
17.94,3.470260222,0.000340435
17.95,3.470258546,0.000339359
17.96,3.470256885,0.000338314
17.97,3.470255238,0.000337301
17.98,3.470253605,0.000336319
17.99,3.470251987,0.000335367
18,3.470250383,0.000334444
18.01,3.470248794,0.00033355
18.02,3.470247219,0.000332686
18.03,3.47024566,0.000331849
18.04,3.470244115,0.000331041
18.05,3.470242585,0.000330259
18.06,3.470241071,0.000329505
18.07,3.470239571,0.000328777
18.08,3.470238087,0.000328076
18.09,3.470236618,0.0003274
18.1,3.470235164,0.000326749
18.11,3.470233726,0.000326123
18.12,3.470232303,0.000325522
18.13,3.470230895,0.000324944
18.14,3.470229504,0.000324391
18.15,3.470228127,0.00032386
18.16,3.470226767,0.000323353
18.17,3.470225422,0.000322868
18.18,3.470224094,0.000322406
18.19,3.470222781,0.000321965
18.2,3.470221484,0.000321546
18.21,3.470220203,0.000321148
18.22,3.470218938,0.00032077
18.23,3.470217689,0.000320413
18.24,3.470216456,0.000320077
18.25,3.470215239,0.00031976
18.26,3.470214038,0.000319462
18.27,3.470212854,0.000319184
18.28,3.470211686,0.000318924
18.29,3.470210534,0.000318683
18.3,3.470209399,0.000318461
18.31,3.47020828,0.000318256
18.32,3.470207178,0.000318068
18.33,3.470206092,0.000317898
18.34,3.470205022,0.000317745
18.35,3.470203969,0.000317608
18.36,3.470202933,0.000317488
18.37,3.470201913,0.000317384
18.38,3.47020091,0.000317296
18.39,3.470199924,0.000317223
18.4,3.470198954,0.000317165
18.41,3.470198001,0.000317122
18.42,3.470197065,0.000317094
18.43,3.470196146,0.000317081
18.44,3.470195244,0.000317081
18.45,3.470194358,0.000317095
18.46,3.470193489,0.000317122
18.47,3.470192638,0.000317163
18.48,3.470191803,0.000317217
18.49,3.470190985,0.000317283
18.5,3.470190184,0.000317362
18.51,3.470189401,0.000317453
18.52,3.470188634,0.000317556
18.53,3.470187884,0.00031767
18.54,3.470187152,0.000317796
18.55,3.470186436,0.000317933
18.56,3.470185738,0.00031808
18.57,3.470185057,0.000318238
18.58,3.470184393,0.000318407
18.59,3.470183746,0.000318585
18.6,3.470183117,0.000318773
18.61,3.470182504,0.000318971
18.62,3.470181909,0.000319178
18.63,3.470181331,0.000319393
18.64,3.47018077,0.000319618
18.65,3.470180227,0.000319851
18.66,3.470179701,0.000320092
18.67,3.470179192,0.000320341
18.68,3.4701787,0.000320597
18.69,3.470178226,0.000320861
18.7,3.470177769,0.000321132
18.71,3.470177329,0.00032141
18.72,3.470176906,0.000321695
18.73,3.470176501,0.000321986
18.74,3.470176112,0.000322283
18.75,3.470175741,0.000322585
18.76,3.470175388,0.000322894
18.77,3.470175051,0.000323208
18.78,3.470174732,0.000323526
18.79,3.47017443,0.00032385
18.8,3.470174145,0.000324178
18.81,3.470173877,0.00032451
18.82,3.470173626,0.000324847
18.83,3.470173392,0.000325187
18.84,3.470173175,0.000325531
18.85,3.470172976,0.000325878
18.86,3.470172793,0.000326228
18.87,3.470172627,0.00032658
18.88,3.470172478,0.000326936
18.89,3.470172346,0.000327293
18.9,3.470172231,0.000327652
18.91,3.470172132,0.000328014
18.92,3.47017205,0.000328376
18.93,3.470171985,0.00032874
18.94,3.470171936,0.000329105
18.95,3.470171904,0.00032947
18.96,3.470171889,0.000329836
18.97,3.470171889,0.000330202
18.98,3.470171907,0.000330568
18.99,3.47017194,0.000330934
19,3.470171989,0.0003313
19.01,3.470172055,0.000331664
19.02,3.470172137,0.000332028
19.03,3.470172234,0.00033239
19.04,3.470172348,0.00033275
19.05,3.470172477,0.000333109
19.06,3.470172622,0.000333466
19.07,3.470172782,0.000333821
19.08,3.470172958,0.000334173
19.09,3.47017315,0.000334522
19.1,3.470173356,0.000334868
19.11,3.470173578,0.000335212
19.12,3.470173815,0.000335551
19.13,3.470174066,0.000335887
19.14,3.470174333,0.000336219
19.15,3.470174614,0.000336547
19.16,3.470174909,0.000336871
19.17,3.470175219,0.00033719
19.18,3.470175543,0.000337504
19.19,3.470175882,0.000337813
19.2,3.470176234,0.000338117
19.21,3.4701766,0.000338416
19.22,3.47017698,0.000338709
19.23,3.470177374,0.000338995
19.24,3.47017778,0.000339276
19.25,3.4701782,0.00033955
19.26,3.470178633,0.000339818
19.27,3.470179079,0.00034008
19.28,3.470179538,0.000340334
19.29,3.470180009,0.000340581
19.3,3.470180493,0.000340821
19.31,3.470180989,0.000341053
19.32,3.470181497,0.000341277
19.33,3.470182016,0.000341494
19.34,3.470182547,0.000341703
19.35,3.47018309,0.000341903
19.36,3.470183644,0.000342095
19.37,3.470184209,0.000342279
19.38,3.470184785,0.000342454
19.39,3.470185372,0.000342619
19.4,3.470185969,0.000342776
19.41,3.470186577,0.000342924
19.42,3.470187194,0.000343062
19.43,3.470187821,0.000343191
19.44,3.470188458,0.00034331
19.45,3.470189105,0.000343419
19.46,3.47018976,0.000343518
19.47,3.470190425,0.000343607
19.48,3.470191098,0.000343686
19.49,3.47019178,0.000343755
19.5,3.470192471,0.000343814
19.51,3.470193169,0.000343861
19.52,3.470193875,0.000343899
19.53,3.470194589,0.000343925
19.54,3.47019531,0.000343941
19.55,3.470196039,0.000343945
19.56,3.470196774,0.000343939
19.57,3.470197516,0.000343921
19.58,3.470198265,0.000343892
19.59,3.47019902,0.000343852
19.6,3.470199781,0.000343801
19.61,3.470200548,0.000343738
19.62,3.47020132,0.000343664
19.63,3.470202097,0.000343578
19.64,3.47020288,0.000343481
19.65,3.470203668,0.000343372
19.66,3.47020446,0.000343251
19.67,3.470205256,0.000343119
19.68,3.470206057,0.000342974
19.69,3.470206861,0.000342818
19.7,3.470207669,0.00034265
19.71,3.470208481,0.000342471
19.72,3.470209296,0.000342279
19.73,3.470210113,0.000342076
19.74,3.470210934,0.000341861
19.75,3.470211756,0.000341634
19.76,3.470212582,0.000341395
19.77,3.470213409,0.000341144
19.78,3.470214238,0.000340881
19.79,3.470215068,0.000340606
19.8,3.4702159,0.00034032
19.81,3.470216733,0.000340022
19.82,3.470217567,0.000339712
19.83,3.470218401,0.00033939
19.84,3.470219236,0.000339057
19.85,3.470220071,0.000338712
19.86,3.470220906,0.000338355
19.87,3.470221741,0.000337987
19.88,3.470222576,0.000337607
19.89,3.470223409,0.000337216
19.9,3.470224242,0.000336814
19.91,3.470225074,0.0003364
19.92,3.470225905,0.000335975
19.93,3.470226734,0.000335538
19.94,3.470227562,0.000335091
19.95,3.470228388,0.000334632
19.96,3.470229212,0.000334163
19.97,3.470230033,0.000333683
19.98,3.470230852,0.000333192
19.99,3.470231669,0.00033269
20,3.470232482,0.000332178
